Sample ID,Sequence Round,Cattle Tag Number,Biorepository Number,USNM Number,Country,Region,Site,Sampling Date,Latitude,Longitude,Region:Site
Coiba_677,2,677,AP3XF57,USNM 1666060,Panama,Chiriqui,Canales,11/29/21,7.695942,-81.632929,Chiriqui:Canales
Coiba_680,2,680,AP3XF41,USNM 1666110,Panama,Chiriqui,Wahoo,11/29/21,7.686389,-81.60889,Chiriqui:Wahoo
Coiba_682,2,682,AP3XF51,USNM 1666034,Panama,Chiriqui,Wahoo,11/29/21,7.686389,-81.60889,Chiriqui:Wahoo
Coiba_683,2,683,AP3XF56,USNM 1666051,Panama,Chiriqui,Canales,11/29/21,7.695942,-81.632929,Chiriqui:Canales
Coiba_697,2,697,AP3XF37,USNM 1666045,Panama,Chiriqui,Wahoo,11/29/21,7.686389,-81.60889,Chiriqui:Wahoo
Coiba_698,2,698,AP3XF39,USNM 1666043,Panama,Chiriqui,Wahoo,11/29/21,7.686389,-81.60889,Chiriqui:Wahoo
Coiba_901,2,901,AP3XF53,USNM 1666056,Panama,Chiriqui,Canales,11/29/21,7.695942,-81.632929,Chiriqui:Canales
Coiba_902,2,902,AP3XF54,USNM 1666038,Panama,Chiriqui,Canales,11/29/21,7.695942,-81.632929,Chiriqui:Canales
Coiba_904,2,904,AP3XF68,USNM 1666028,Panama,Chiriqui,Uvas,11/30/21,7.815128015,-81.75892202,Chiriqui:Uvas
Coiba_909,2,909,AP3XF42,USNM 1666057,Panama,Chiriqui,Wahoo,11/29/21,7.686389,-81.60889,Chiriqui:Wahoo
Coiba_926,2,926,AP3XF52,USNM 1666039,Panama,Chiriqui,Wahoo,11/29/21,7.686389,-81.60889,Chiriqui:Wahoo
Coiba_931,2,931,AP3XF40,USNM 1666035,Panama,Chiriqui,Wahoo,11/29/21,7.686389,-81.60889,Chiriqui:Wahoo
Darwin_1A,2,1A,NA,NA,Ecuador,Galapagos,Darwin,NA,1.67211,-91.999483,Galapagos:Darwin
Darwin_2A,2,2A,NA,NA,Ecuador,Galapagos,Darwin,NA,1.67211,-91.999483,Galapagos:Darwin
Darwin_3A,2,3A,NA,NA,Ecuador,Galapagos,Darwin,NA,1.67211,-91.999483,Galapagos:Darwin
Darwin_4A,2,4A,NA,NA,Ecuador,Galapagos,Darwin,NA,1.67211,-91.999483,Galapagos:Darwin
Darwin_534,2,534,NA,NA,Ecuador,Galapagos,Darwin,NA,1.67211,-91.999483,Galapagos:Darwin
Darwin_539,2,539,NA,NA,Ecuador,Galapagos,Darwin,NA,1.67211,-91.999483,Galapagos:Darwin
Darwin_548,2,548,NA,NA,Ecuador,Galapagos,Darwin,NA,1.67211,-91.999483,Galapagos:Darwin
Darwin_549,2,549,NA,NA,Ecuador,Galapagos,Darwin,NA,1.67211,-91.999483,Galapagos:Darwin
Darwin_550,2,550,NA,NA,Ecuador,Galapagos,Darwin,NA,1.67211,-91.999483,Galapagos:Darwin
Darwin_551,2,551,NA,NA,Ecuador,Galapagos,Darwin,NA,1.67211,-91.999483,Galapagos:Darwin
Darwin_553,2,553,NA,NA,Ecuador,Galapagos,Darwin,NA,1.67211,-91.999483,Galapagos:Darwin
Darwin_556,2,556,NA,NA,Ecuador,Galapagos,Darwin,NA,1.67211,-91.999483,Galapagos:Darwin
Darwin_557,2,557,NA,NA,Ecuador,Galapagos,Darwin,NA,1.67211,-91.999483,Galapagos:Darwin
Darwin_558,2,558,NA,NA,Ecuador,Galapagos,Darwin,NA,1.67211,-91.999483,Galapagos:Darwin
Darwin_563,2,563,NA,NA,Ecuador,Galapagos,Darwin,NA,1.67211,-91.999483,Galapagos:Darwin
Darwin_563b,2,563,NA,NA,Ecuador,Galapagos,Darwin,NA,1.67211,-91.999483,Galapagos:Darwin
Darwin_564,2,564,NA,NA,Ecuador,Galapagos,Darwin,NA,1.67211,-91.999483,Galapagos:Darwin
Darwin_567,2,567,NA,NA,Ecuador,Galapagos,Darwin,NA,1.67211,-91.999483,Galapagos:Darwin
Darwin_576,2,576,NA,NA,Ecuador,Galapagos,Darwin,NA,1.67211,-91.999483,Galapagos:Darwin
Darwin_584,2,584,NA,NA,Ecuador,Galapagos,Darwin,NA,1.67211,-91.999483,Galapagos:Darwin
Darwin_589,2,589,NA,NA,Ecuador,Galapagos,Darwin,NA,1.67211,-91.999483,Galapagos:Darwin
Darwin_591,2,591,NA,NA,Ecuador,Galapagos,Darwin,NA,1.67211,-91.999483,Galapagos:Darwin
Darwin_594,2,594,NA,NA,Ecuador,Galapagos,Darwin,NA,1.67211,-91.999483,Galapagos:Darwin
Darwin_5A,2,5A,NA,NA,Ecuador,Galapagos,Darwin,NA,1.67211,-91.999483,Galapagos:Darwin
Darwin_617,2,617,NA,NA,Ecuador,Galapagos,Darwin,NA,1.67211,-91.999483,Galapagos:Darwin
Espanola_1A,2,1A,NA,NA,Ecuador,Galapagos,Espanola,NA,-1.35207,-89.6548,Galapagos:Espanola
Espanola_2A,2,2A,NA,NA,Ecuador,Galapagos,Espanola,NA,-1.35207,-89.6548,Galapagos:Espanola
Espanola_3A,2,3A,NA,NA,Ecuador,Galapagos,Espanola,NA,-1.35207,-89.6548,Galapagos:Espanola
Espanola_4A,2,4A,NA,NA,Ecuador,Galapagos,Espanola,NA,-1.35207,-89.6548,Galapagos:Espanola
Espanola_5A,2,5A,NA,NA,Ecuador,Galapagos,Espanola,NA,-1.35207,-89.6548,Galapagos:Espanola
Floreana_1E,2,1E,NA,NA,Ecuador,Galapagos,Floreana,NA,-1.216193,-90.422824,Galapagos:Floreana
Floreana_2E,2,2E,NA,NA,Ecuador,Galapagos,Floreana,NA,-1.216193,-90.422824,Galapagos:Floreana
Floreana_3E,2,3E,NA,NA,Ecuador,Galapagos,Floreana,NA,-1.216193,-90.422824,Galapagos:Floreana
Floreana_473,2,473,NA,NA,Ecuador,Galapagos,Floreana,NA,-1.216193,-90.422824,Galapagos:Floreana
Floreana_4E,2,4E,NA,NA,Ecuador,Galapagos,Floreana,NA,-1.216193,-90.422824,Galapagos:Floreana
